cell_id,weighted_population,historical_density,weighted_housing_units,log_density,log_pop,r_j,cluster_label
126,4.69519418744882,2.3437570425391905e-05,2.168707836440526,0.02316712809412868,1.7396226942017274,0.016360082420782178,1
127,4.699892274277218,1.802890032722454e-06,2.1716542918261363,0.0018012667772286657,1.7404472754123006,-0.005198212821260512,1
128,8.848080596127684,3.4254910621726625e-05,1.324649295711164,0.033681274350748434,2.2872765728583797,-0.10093269214273878,1
129,145.29483509290532,0.0011772871913677625,0.187491664785012,0.7780796942534141,4.985624003868413,0.013747780164522716,2
130,34.828093648287926,6.670693121073081e-05,0.8169722899537992,0.0645762684351931,3.5787323244391613,-0.37142693205745964,3
131,4.67421603340068,1.0817340196334724e-05,2.162882452481076,0.010759251307922643,1.7359324099305664,0.004813413576360434,1
132,2.5051156316209324,8.293294150523289e-05,1.1702618437844878,0.07967304690070304,1.2542235104191077,0.18614443760041494,7
133,1.883623877011786,3.966358071989399e-05,0.9379411698528564,0.03889718074529051,1.0590477937927492,0.19091706171054512,7
134,2.763075157120778,1.802890032722454e-05,1.3912442795308044,0.017868307044835906,1.3252364840721675,0.1077672788234185,7
135,5.1029269602519,4.507225081806135e-05,2.7311206009375812,0.044086022565561274,1.8087684856473707,0.021142305471176966,1
136,8.23980004644003,0.00010456762189790233,4.418809311881895,0.09945396599478049,2.223520245423777,-0.02028107749681954,1
137,8.23980004645238,2.1634680392669448e-05,4.420387867782817,0.021403972294564443,2.2235202454251137,-0.09833107119734755,1
138,8.239800046457834,0.00017127455310863313,4.421966713139128,0.1580925175171598,2.223520245425704,0.03835747402511014,1
139,6.160995912390996,0.00020552946373035978,2.8286700759372643,0.18691885942739464,1.9686490652092503,0.12666353847316766,1
140,10.0240219103653,6.490404117800835e-05,4.444864123913206,0.0628846929216693,2.400076701784322,-0.09805363227352638,1
141,5.113990432362067,6.129826111256344e-05,2.2684015196613028,0.05949293333387201,1.8105796585936969,0.0361265397162967,1
142,8.791172574558693,4.687514085078381e-05,3.900953723019537,0.04580967057531744,2.2814812220524394,-0.08745182500461295,1
143,1.0,1.4423120261779633e-05,0.1344717815365359,0.014320096497260232,0.6931471805599453,0.251730828374035,7
144,14.37832622772992,0.0002560103846465885,5.308138383210606,0.22794033604255026,2.732959130309409,-0.010683329918021456,1
145,89.31456722144829,3.2452020589004175e-05,44.20679223942524,0.031936575610133675,4.503298767694042,-0.6198342745080211,2
146,88.34213863271586,0.0006526461918455284,43.564157680881614,0.5023777559081988,4.492473253769494,-0.14686672554004732,3
147,1017.7417470588142,0.002031857066878206,515.5613129805458,1.1091753251379934,6.926323563475696,-0.10806095905929225,6
148,561.9254233209554,0.00033173176602093157,269.1579659978338,0.2864801749779923,6.333147156347849,-0.7923255181968675,6
